path,count,first_seen,last_seen,status,sample_ip
/%252fapis%252fphpinfo.php,4,2026-08-24T12:11:06+00:00,2026-09-05T03:44:19+00:00,404,172.71.127.18
/%252fapp%252f.env,4,2026-08-24T12:11:08+00:00,2026-09-05T03:44:23+00:00,404,172.71.127.17
/%252fapp%252f.environment,4,2026-08-24T12:11:08+00:00,2026-09-05T03:44:24+00:00,404,172.71.127.18
/%252fapp%252fconfig%252f.env,4,2026-08-24T12:11:08+00:00,2026-09-05T03:44:26+00:00,404,172.71.127.17
/%252fapp%252fetc%252fenv.php,4,2026-08-24T12:11:09+00:00,2026-09-05T03:44:27+00:00,404,172.71.127.17
/%252fapp%252fphpinfo.php,4,2026-08-24T12:11:10+00:00,2026-09-05T03:44:30+00:00,404,172.71.127.17
/%252fapp%252fservices%252fsparkpostservice.php,4,2026-08-24T12:11:10+00:00,2026-09-05T03:44:31+00:00,404,172.71.127.18
/%252fapp_dev.php%252f_profiler%252fopen%3ffile%3d.env,4,2026-08-24T12:11:11+00:00,2026-09-05T03:44:32+00:00,404,172.71.127.18
/%252fapp_dev.php%252f_profiler%252fopen%3ffile%3dapp%252f.env,4,2026-08-24T12:11:11+00:00,2026-09-05T03:44:32+00:00,404,172.71.127.18
/%252fapps%252f.env,4,2026-08-24T12:11:11+00:00,2026-09-05T03:44:33+00:00,404,172.71.127.18
/%252fapps%252fconfig%252f.env,4,2026-08-24T12:11:11+00:00,2026-09-05T03:44:33+00:00,404,172.71.127.17
/%252fapps%252fphpinfo.php,4,2026-08-24T12:11:11+00:00,2026-09-05T03:44:33+00:00,404,172.71.127.17
/%252fasdf.php,4,2026-08-24T12:11:11+00:00,2026-09-05T03:44:34+00:00,404,172.71.127.18
/%252fback%252fphpinfo.php,4,2026-08-24T12:11:13+00:00,2026-09-05T03:44:39+00:00,404,172.71.127.18
/%252fbackend%252f.env,4,2026-08-24T12:11:13+00:00,2026-09-05T03:44:39+00:00,404,172.71.127.18
/%252fbackend%252fphpinfo.php,4,2026-08-24T12:11:13+00:00,2026-09-05T03:44:40+00:00,404,172.71.127.17
